code,description,classification
QA46.Z,Outcome of delivery unspecified,not a valid entry
QA47.00,Single liveborn infant delivered vaginally,not a valid entry
QA47.01,Single liveborn infant delivered by caesarean,not a valid entry
QA47.0Y,Other specified singleton born in hospital,not a valid entry
QA47.0Z,Singleton born in hospital unspecified,not a valid entry
QA47.1,Singleton born outside hospital,not a valid entry
QA47.2,Singleton unspecified as to place of birth,not a valid entry
QA47.30,Twin liveborn infant delivered vaginally,not a valid entry
QA47.31,Twin liveborn infant delivered by caesarean,not a valid entry
QA47.3Y,Other specified twin born in hospital,not a valid entry
QA47.3Z,Twin born in hospital unspecified,not a valid entry
QA47.4,Twin born outside hospital,not a valid entry
QA47.5,Twin unspecified as to place of birth,not a valid entry
QA47.60,Multiple other than twins delivered vaginally,not a valid entry
QA47.61,Multiple other than twins delivered by caesarean section,not a valid entry
QA47.6Y,Other specified multiple other than twins born in hospital,not a valid entry
QA47.6Z,Multiple other than twins born in hospital unspecified,not a valid entry
QA47.7,Multiple other than twins born outside hospital,not a valid entry
QA47.8,Other multiple unspecified as to place of birth,not a valid entry
QA47.Z,Liveborn infants according to place of birth unspecified,not a valid entry
QA48.0,Care or examination immediately after delivery,not a valid entry
QA48.1,Care or examination of lactating mother,not a valid entry
QA48.2,Routine postpartum follow-up,not a valid entry
QA48.Y,Other specified postpartum care or examination,not a valid entry
QA48.Z,Postpartum care or examination unspecified,not a valid entry
QA49,Problems related to unwanted pregnancy,not a valid entry
QA4A,Problems related to multiparity,not a valid entry
QA4B,Contact with health services for menopausal counselling,not a valid entry
QA4Y,Other specified contact with health services for reasons associated with reproduction,not a valid entry
QA4Z,Contact with health services for reasons associated with reproduction unspecified,not a valid entry
QA50,Embolisation without injury or harm,not a valid entry
QA51,Foreign body accidentally left in body without injury or harm,not a valid entry
QA52,Failure of sterile precautions without injury or harm,not a valid entry
QA53,Pressure as potential mode of injury without injury or harm,not a valid entry
QA5Y,Other specified circumstances associated with a surgical or other medical procedure influencing the episode of care without injury or harm,not a valid entry
QA5Z,Circumstances associated with a surgical or other medical procedure influencing the episode of care without injury or harm unspecified,not a valid entry
QA60,Structural device failure without injury or harm,not a valid entry
QA61,Functional device failure without injury or harm,not a valid entry
QA62,Dislodgement misconnection or de-attachment of a surgical or medical device without injury or harm,not a valid entry
QA63,Obstruction of device without injury or harm,not a valid entry
QA64,Operator error without injury or harm,not a valid entry
QA65,Combination or interaction of operator error and device failure without injury or harm,not a valid entry
QA6Y,Other specified circumstances associated with a surgical or other medical device influencing the episode of care without injury or harm,not a valid entry
QA6Z,Circumstances associated with a surgical or other medical device influencing the episode of care without injury or harm unspecified,not a valid entry
QA70,Overdose of substance without injury or harm,not a valid entry
QA71,Underdosing without injury or harm,not a valid entry
QA72,Incorrect substance without injury or harm,not a valid entry
QA73,Incorrect route of administration without injury or harm,not a valid entry
QA74,Unspecified appropriateness of dosing or administration without injury or harm,not a valid entry
QA75,Incorrect duration of administration or course of therapy without injury or harm,not a valid entry
QA76,Medication or substance that is known to be an allergen without injury or harm,not a valid entry
QA77,Medication or substance that is known to be contraindicated for the patient without injury or harm,not a valid entry
QA78,Expired or deteriorated medication or substance without injury or harm,not a valid entry
QA79,Drug or substance interactions without injury or harm,not a valid entry
QA7A,Inappropriate stoppage or discontinuation of drug without injury or harm,not a valid entry
QA7Y,Other specified circumstances associated with exposure to a drug medicament or biological substance influencing the episode of care without injury or harm,not a valid entry
QA7Z,Circumstances associated with exposure to a drug medicament or biological substance influencing the episode of care without injury or harm unspecified,not a valid entry
QA80,Non-administration of necessary drug without injury or harm,not a valid entry
QA81,Non-provision of necessary procedure without injury or harm,not a valid entry
QA82,Problem associated with physical transfer of patient without injury or harm,not a valid entry
QA83,Mismatched blood used in transfusion without injury or harm,not a valid entry
QA84,Other problem with transfusion without injury or harm,not a valid entry
QA85,Problem with physical restraints without injury or harm,not a valid entry
QA86,Problem with isolation protocol without injury or harm,not a valid entry
QA87,Problem with clinical documentation without injury or harm,not a valid entry
QA88,Problem with clinical software without injury or harm,not a valid entry
QA89,Incorrect diagnosis without injury or harm,not a valid entry
QA8A,Delayed diagnosis without injury or harm,not a valid entry
QA8B,Delayed treatment without injury or harm,not a valid entry
QA8C,Problem with transitions of care hand offs or handovers without injury or harm,not a valid entry
QA8D,Patient received diagnostic test or treatment intended for another patient without injury or harm,not a valid entry
QA8E,Fall in health care without injury or harm,not a valid entry
QA8F,Needle stick without injury or harm,not a valid entry
QA8Y,Other specified circumstances associated with other aspects of care influencing the episode of care without injury or harm,not a valid entry
QA8Z,Circumstances associated with other aspects of care influencing the episode of care without injury or harm unspecified,not a valid entry
QB0Y,Other specified health care related circumstances influencing the episode of care without injury or harm,not a valid entry
QB0Z,Health care related circumstances influencing the episode of care without injury or harm unspecified,not a valid entry
QB10,Medical services not available in home,not a valid entry
QB11,Person awaiting admission to adequate facility elsewhere,not a valid entry
QB12.0,Organ transplant candidate,not a valid entry
QB12.Y,Other specified waiting period for investigation or treatment other than awaiting admission to adequate facility elsewhere,not a valid entry
QB12.Z,Waiting period for investigation or treatment other than awaiting admission to adequate facility elsewhere unspecified,not a valid entry
QB13,Unavailability or inaccessibility of helping agencies other than health care facilities,not a valid entry
QB14,Unavailability or inaccessibility of health care facilities,not a valid entry
QB15,Medical services not available in current medical facility,not a valid entry
QB16,Respite care,not a valid entry
QB1Y,Other specified factors related to medical facilities and other health care,not a valid entry
QB1Z,Factors related to medical facilities and other health care unspecified,not a valid entry
QB20,Blood donor,not a valid entry
QB21,Bone marrow donor,not a valid entry
QB22,Kidney donor,not a valid entry
QB23,Cornea donor,not a valid entry
QB24,Liver donor,not a valid entry
QB25,Heart donor,not a valid entry
QB2Y,Donors of other specified organs or tissues,not a valid entry
QB2Z,Donors of organs or tissues unspecified,not a valid entry
QB30.00,Adjustment or management of bone conduction device,not a valid entry
QB30.01,Adjustment or management of cochlear device,not a valid entry
QB30.0Y,Adjustment or management of other implanted hearing device,not a valid entry
QB30.0Z,Adjustment or management of implanted hearing device unspecified,not a valid entry
QB30.1,Adjustment or management of infusion pump,not a valid entry
QB30.20,Adjustment or management of cardiac pacemaker,not a valid entry
QB30.21,Adjustment or management of cardiac resynchronization therapy defibrillator,not a valid entry
QB30.22,Adjustment or management of cardiac resynchronization therapy pacemaker,not a valid entry
QB30.23,Adjustment or management of cardioverter-defibrillator,not a valid entry
QB30.2Y,Other specified adjustment or management of cardiac devices,not a valid entry
QB30.2Z,Adjustment or management of cardiac devices unspecified,not a valid entry
QB30.3,Adjustment or management of vascular access device,not a valid entry
QB30.4,Adjustment or management of implanted gastric device,not a valid entry
QB30.5,Fitting or adjustment of urinary device,not a valid entry
QB30.6,Adjustment or management of breast implant,not a valid entry
QB30.7,Adjustment or removal of myringotomy stent or tube,not a valid entry
QB30.8,Adjustment and management of a neurostimulator,not a valid entry
QB30.9,Fitting or adjustment of cerebrospinal fluid drainage device,not a valid entry
QB30.A,Fitting or adjustment of neuropacemaker,not a valid entry
QB30.Y,Fitting adjustment or management of other specified implanted devices,not a valid entry
QB30.Z,Adjustment or management of implanted devices unspecified,not a valid entry
QB31.00,Fitting or adjustment of artificial arm,not a valid entry
QB31.01,Fitting or adjustment of artificial leg,not a valid entry
QB31.02,Fitting or adjustment of artificial eye,not a valid entry
QB31.03,Fitting or adjustment of external breast prosthesis,not a valid entry
QB31.0Y,Other specified fitting or adjustment of external prosthetic device,not a valid entry
QB31.0Z,Fitting or adjustment of external prosthetic device unspecified,not a valid entry
QB31.1,Fitting or adjustment of orthopaedic device,not a valid entry
QB31.2,Fitting or adjustment of orthodontic device,not a valid entry
QB31.3,Fitting or adjustment of dental prosthetic device,not a valid entry
QB31.4,Fitting or adjustment of hearing aid,not a valid entry
QB31.5,Fitting or adjustment of spectacles or contact lenses,not a valid entry
QB31.Y,Fitting adjustment or management of other specified external devices,not a valid entry
QB31.Z,Fitting adjustment or management of external devices unspecified,not a valid entry
QB3Z,Fitting adjustment or management of devices unspecified,not a valid entry
QB40,Dependence on aspirator,not a valid entry
QB41,Dependence on respirator,not a valid entry
QB42,Dependence on renal dialysis,not a valid entry
QB43,Dependence on artificial heart,not a valid entry
QB44,Dependence on wheelchair,not a valid entry
QB4Y,Dependence on other specified machine or device,not a valid entry
QB4Z,Dependence on unspecified machine or device,not a valid entry
QB50.00,Presence of cardiac pacemaker,not a valid entry
QB50.01,Presence of cardiac resynchronization therapy defibrillator,not a valid entry
QB50.02,Presence of cardiac resynchronization therapy pacemaker,not a valid entry
QB50.03,Presence of cardioverter-defibrillator,not a valid entry
QB50.0Y,Other specified presence of electronic cardiac devices,not a valid entry
QB50.0Z,Presence of electronic cardiac devices unspecified,not a valid entry
QB50.1,Presence of aortocoronary bypass graft,not a valid entry
QB50.2,Presence of prosthetic heart valve,not a valid entry
QB50.3,Presence of xenogenic heart valve,not a valid entry
QB50.4,Presence of coronary angioplasty implant or graft,not a valid entry
QB50.Y,Presence of other specified cardiac or vascular implants or grafts,not a valid entry
QB50.Z,Presence of unspecified cardiac or vascular implants or grafts,not a valid entry
QB51.0,Presence of a neurostimulator,not a valid entry
QB51.1,Presence of urogenital implants,not a valid entry
QB51.2,Presence of intraocular lens,not a valid entry
QB51.3,Presence of otological or audiological implants,not a valid entry
QB51.4,Presence of artificial larynx,not a valid entry
QB51.5,Presence of endocrine implants,not a valid entry
QB51.6,Presence of tooth-root or mandibular implants,not a valid entry
QB51.7,Presence of orthopaedic joint implants,not a valid entry
QB51.8,Presence of artificial eye,not a valid entry
QB51.9,Presence of artificial limb,not a valid entry
QB51.A,Presence of dental prosthetic device,not a valid entry
QB51.B,Presence of external hearing-aid,not a valid entry
QB51.C,Presence of contraceptive device,not a valid entry
QB51.D,Presence of cerebrospinal fluid drainage device,not a valid entry
QB51.Y,Presence of other specified devices other than cardiac or vascular implants,not a valid entry
QB5Z,Presence of unspecified device,not a valid entry
QB60,Presence of arthrodesis,not a valid entry
QB61.0,Presence of tracheostomy,not a valid entry
QB61.1,Presence of thoracostomy,not a valid entry
QB61.2,Presence of gastrostomy,not a valid entry
QB61.30,Presence of ileostomy,not a valid entry
QB61.3Y,Other specified presence of enterostomy,not a valid entry
QB61.3Z,Presence of enterostomy unspecified,not a valid entry
QB61.4,Presence of colostomy,not a valid entry
QB61.5,Presence of cystostomy,not a valid entry
QB61.6,Presence of nephrostomy,not a valid entry
QB61.7,Presence of ureterostomy,not a valid entry
QB61.8,Presence of urethrostomy,not a valid entry
QB61.Y,Presence of other artificial opening,not a valid entry
QB61.Z,Presence of artificial opening unspecified,not a valid entry
QB62.0,Attention to tracheostomy,not a valid entry
QB62.1,Attention to gastrostomy,not a valid entry
QB62.2,Attention to ileostomy,not a valid entry
QB62.3,Attention to colostomy,not a valid entry
QB62.4,Attention to cystostomy,not a valid entry
QB62.5,Attention to artificial vagina,not a valid entry
QB62.6,Attention to nephrostomy,not a valid entry
QB62.7,Attention to ureterostomy,not a valid entry
QB62.8,Attention to urethrostomy,not a valid entry
QB62.Y,Attention to other artificial openings,not a valid entry
QB62.Z,Attention to artificial openings unspecified,not a valid entry
QB63.0,Presence of transplanted kidney,not a valid entry
QB63.1,Presence of transplanted heart,not a valid entry
QB63.2,Presence of transplanted lung,not a valid entry
QB63.3,Presence of transplanted liver,not a valid entry
QB63.4,Presence of transplanted skin,not a valid entry
QB63.5,Presence of transplanted bone,not a valid entry
QB63.6,Presence of transplanted bone marrow,not a valid entry
QB63.7,Presence of transfused blood,not a valid entry
QB63.8,Presence of transplanted stem cell,not a valid entry
QB63.9,Presence of transplanted cornea,not a valid entry
QB63.Y,Presence of other transplanted organ or tissue,not a valid entry
QB63.Z,Presence of transplanted organ or tissue unspecified,not a valid entry
QB6Y,Other specified surgical or postsurgical states,not a valid entry
QB6Z,Surgical or postsurgical states unspecified,not a valid entry
QB70,Convalescence following chemotherapy,not a valid entry
QB71,Convalescence following psychotherapy,not a valid entry
QB72,Convalescence following treatment of fracture,not a valid entry
QB73,Convalescence following combined treatment,not a valid entry
QB7Y,Other specified convalescence,not a valid entry
QB7Z,Convalescence unspecified,not a valid entry
QB80.0,Contact with health services for prophylactic surgery for risk-factors related to malignant neoplasms,not a valid entry
QB80.Y,Other specified contact with health services for prophylactic surgery,not a valid entry
QB80.Z,Contact with health services for prophylactic surgery unspecified,not a valid entry
QB81,Contact with health services for plastic surgery for unacceptable cosmetic appearance other than hair transplant,not a valid entry
QB82,Contact with health services for routine or ritual circumcision,not a valid entry
QB83,Follow-up care involving plastic surgery,not a valid entry
QB84,Follow-up care involving removal of fracture plate or other internal fixation device,not a valid entry
QB85,Attention to surgical dressings drains or sutures,not a valid entry
QB86,Contact with health services for hair transplant,not a valid entry
QB8Y,Contact with health services for other specified surgical interventions,not a valid entry
QB8Z,Contact with health services for specific surgical interventions unspecified,not a valid entry
QB90,Contact with health services for ear piercing,not a valid entry
QB91,Contact with health services for piercing of body site other than ear,not a valid entry
QB92,Contact with health services for issue of repeat prescription,not a valid entry
QB93,Contact with health services for orthodontic care,not a valid entry
QB94.0,Preparatory care for dialysis,not a valid entry
QB94.1,Care involving extracorporeal dialysis,not a valid entry
QB94.2,Care involving peritoneal dialysis,not a valid entry
QB94.Y,Care involving other specified dialysis,not a valid entry
QB94.Z,Care involving dialysis unspecified,not a valid entry
QB95.0,Cardiac rehabilitation,not a valid entry
QB95.1,Physical rehabilitation,not a valid entry
QB95.2,Alcohol rehabilitation,not a valid entry
QB95.3,Drug rehabilitation,not a valid entry
QB95.4,Psychotherapy,not a valid entry
QB95.5,Speech therapy,not a valid entry
QB95.6,Orthoptic training,not a valid entry
QB95.7,Occupational therapy or vocational rehabilitation,not a valid entry
QB95.8,Tobacco rehabilitation,not a valid entry
QB95.Y,Care involving use of other specified rehabilitation procedures,not a valid entry
QB95.Z,Care involving use of rehabilitation procedures unspecified,not a valid entry
QB96,Radiotherapy session,not a valid entry
QB97,Chemotherapy session for neoplasm,not a valid entry
QB98,Blood transfusion without reported diagnosis,not a valid entry
QB99,Apheresis,not a valid entry
QB9A,Preparatory care for subsequent treatment,not a valid entry
QB9B,Palliative care,not a valid entry
QB9C,Allergen immunotherapy,not a valid entry
QB9Y,Other specified contact with health services for nonsurgical interventions not involving devices,not a valid entry
QB9Z,Contact with health services for nonsurgical interventions not involving devices unspecified,not a valid entry
QC00.0,Need for immunization against cholera alone,not a valid entry
QC00.1,Need for immunization against typhoid-paratyphoid alone,not a valid entry
QC00.2,Need for immunization against tuberculosis,not a valid entry
QC00.3,Need for immunization against plague,not a valid entry
QC00.4,Need for immunization against tularaemia,not a valid entry
QC00.5,Need for immunization against tetanus alone,not a valid entry
QC00.6,Need for immunization against diphtheria alone,not a valid entry
QC00.7,Need for immunization against pertussis alone,not a valid entry
QC00.Y,Other specified need for immunization against single bacterial diseases,not a valid entry
QC00.Z,Need for immunization against single bacterial diseases unspecified,not a valid entry
QC01.0,Need for immunization against poliomyelitis,not a valid entry
QC01.1,Need for immunization against arthropod-borne viral encephalitis,not a valid entry
QC01.2,Need for immunization against rabies,not a valid entry
QC01.3,Need for immunization against yellow fever,not a valid entry
QC01.4,Need for immunization against measles alone,not a valid entry
QC01.5,Need for immunization against rubella alone,not a valid entry
QC01.6,Need for immunization against viral hepatitis,not a valid entry
QC01.7,Need for immunization against mumps alone,not a valid entry
QC01.8,Need for immunization against influenza,not a valid entry
QC01.Y,Other specified need for immunization against certain single viral diseases,not a valid entry
QC01.Z,Need for immunization against certain single viral diseases unspecified,not a valid entry
QC02.0,Need for immunization against leishmaniasis,not a valid entry
QC02.Y,Other specified need for immunization against certain specified single infectious diseases,not a valid entry
QC02.Z,Need for immunization against certain specified single infectious diseases unspecified,not a valid entry
QC03.0,Need for immunization against cholera with typhoid-paratyphoid,not a valid entry
QC03.1,Need for immunization against diphtheria-tetanus-pertussis combined,not a valid entry
QC03.2,Need for immunization against diphtheria-tetanus-pertussis with typhoid-paratyphoid,not a valid entry
QC03.3,Need for immunization against diphtheria-tetanus-pertussis with poliomyelitis,not a valid entry
QC03.4,Need for immunization against measles-mumps-rubella,not a valid entry
QC03.Y,Other specified need for immunization against combinations of infectious diseases,not a valid entry
QC03.Z,Need for immunization against combinations of infectious diseases unspecified,not a valid entry
QC04.0,Immunization not carried out due to patient having had the disease,not a valid entry
QC04.1,Immunization not carried out because of acute illness,not a valid entry
QC04.2,Immunization not carried out because of chronic illness or condition of patient,not a valid entry
QC04.3,Immunization not carried out because of immune-compromised state of patient,not a valid entry
QC04.4,Immunization not carried out because of patient allergy to vaccine or component,not a valid entry
QC04.5,Immunization not carried out because of patient refusal,not a valid entry
QC04.6,Immunization not carried out because of caregiver refusal,not a valid entry
QC04.7,Immunization not carried out due to lack of availability,not a valid entry
QC04.Y,Immunization not carried out for other reasons,not a valid entry
QC04.Z,Immunization not carried out for unspecified reason,not a valid entry
QC05.0,Isolation,not a valid entry
QC05.1,Prophylactic immunotherapy,not a valid entry
QC05.Y,Other specified prophylactic measures,not a valid entry
QC05.Z,Prophylactic measures unspecified,not a valid entry
QC06,Underimmunization status,not a valid entry
QC0Y,Other specified contact with health services related to immunizations or certain other prophylactic measures,not a valid entry
QC0Z,Contact with health services related to immunizations or certain other prophylactic measures unspecified,not a valid entry
QC10,Procedure not carried out because of contraindication,not a valid entry
QC11,Procedure not carried out because of patient's decision for reasons of belief or group pressure,not a valid entry
QC12,Procedure not carried out because of patient's decision for reasons other than belief or group pressure,not a valid entry
QC1Y,Intervention not carried out for other reasons,not a valid entry
QC1Z,Intervention not carried out unspecified reason,not a valid entry
QC20.0,Partner illness problem,not a valid entry
QC20.1,Illness problem with child,not a valid entry
QC20.Y,Other specified person consulting on behalf of another person,not a valid entry
QC20.Z,Person consulting on behalf of another person unspecified,not a valid entry
QC21,Healthy person accompanying sick person,not a valid entry
QC22,Health supervision or care of abandoned infant,not a valid entry
QC2Y,Other specified contact with health services associated with the health of others,not a valid entry
QC2Z,Contact with health services associated with the health of others unspecified,not a valid entry
QC30,Malingering,mental disease
QC40.0,Personal history of malignant neoplasm of digestive organs,not a valid entry
QC40.1,Personal history of malignant neoplasm of trachea bronchus or lung,not a valid entry
QC40.2,Personal history of malignant neoplasm of respiratory or intrathoracic organs other than the digestive organs trachea bronchus or lung,not a valid entry
QC40.3,Personal history of malignant neoplasm of breast,not a valid entry
QC40.4,Personal history of malignant neoplasm of genital organs,not a valid entry
QC40.5,Personal history of malignant neoplasm of urinary tract,not a valid entry
QC40.6,Personal history of leukaemia,not a valid entry
QC40.7,Personal history of other malignant neoplasms of lymphoid haematopoietic or related tissues,not a valid entry
QC40.Y,Personal history of malignant neoplasm of other specified site,not a valid entry
QC40.Z,Personal history of malignant neoplasm of unspecified site,not a valid entry
QC41,Personal history of non-malignant neoplasms,not a valid entry
QC42,Personal history of infectious or parasitic diseases,not a valid entry
QC43,Personal history of diseases of the blood or blood-forming organs,not a valid entry
QC44.0,Personal history of anaphylaxis,not a valid entry
QC44.1,Personal history of food-induced allergy or hypersensitivity,not a valid entry
QC44.2,Personal history of allergy to drugs medicaments or biological substances,not a valid entry
QC44.3,Personal history of allergy other than to drugs or biological substances,not a valid entry
QC44.Y,Other specified personal history of diseases of the immune system,not a valid entry
QC44.Z,Personal history of diseases of the immune system unspecified,not a valid entry
QC45,Personal history of endocrine nutritional or metabolic diseases,not a valid entry
QC46,Personal history of mental or behavioural disorder,not a valid entry
QC47,Personal history of diseases of the nervous system or sense organs,not a valid entry
QC48.0,Personal history of long-term use of anticoagulants,not a valid entry
QC48.Y,Other specified personal history of medical treatment,not a valid entry
QC48.Z,Personal history of medical treatment unspecified,not a valid entry
QC49,Personal history of noncompliance with medical treatment or regimen,not a valid entry
QC4A,Personal history of poor personal hygiene,not a valid entry
QC4B,Personal history of self-harm,mental disease
QC4Y,Personal history of other specified health problems,not a valid entry
QC4Z,Personal history of health problems unspecified,not a valid entry
QC50,Late effect of prior health problem not elsewhere classified,not a valid entry
QC60,Family history of infectious diseases,not a valid entry
QC61.0,Family history of malignant neoplasm of digestive organs,not a valid entry
QC61.1,Family history of malignant neoplasm of trachea bronchus or lung,not a valid entry
QC61.2,Family history of malignant neoplasm of respiratory or intrathoracic organs other than digestive organs trachea bronchus or lung,not a valid entry
QC61.3,Family history of malignant neoplasm of breast,not a valid entry
QC61.4,Family history of malignant neoplasm of genital organs,not a valid entry
QC61.5,Family history of malignant neoplasm of urinary tract,not a valid entry
QC61.6,Family history of leukaemia,not a valid entry
QC61.7,Family history of malignant neoplasms of lymphoid haematopoietic or related tissues,not a valid entry
QC61.Y,Other specified family history of malignant neoplasm,not a valid entry
QC61.Z,Family history of malignant neoplasm unspecified,not a valid entry
QC62,Family history of diseases of the blood or blood-forming organs,not a valid entry
QC63,Family history of disorders involving the immune mechanism,not a valid entry
QC64.0,Family history of diabetes mellitus,not a valid entry
QC64.Y,Other specified family history of endocrine nutritional or metabolic diseases,not a valid entry
QC64.Z,Family history of endocrine nutritional or metabolic diseases unspecified,not a valid entry
QC65,Family history of mental or behavioural disorder,not a valid entry
QC66,Family history of eye or ear disorders,not a valid entry
QC67,Family history of ischaemic heart disease or other diseases of the circulatory system,not a valid entry
QC68,Family history of consanguinity,not a valid entry
QC69,Family history of stroke,not a valid entry
QC6Y,Family history of other specified health problems,not a valid entry
QC6Z,Family history of health problems unspecified,not a valid entry
QC8Y,Other specified personal or family history or late effect of prior health problems,not a valid entry
QC8Z,Personal or family history or late effect of prior health problems unspecified,not a valid entry
QC90.00,Exposure to cholera,not a valid entry
QC90.0Y,Other specified contact with or exposure to intestinal infectious diseases,not a valid entry
QC90.0Z,Contact with or exposure to intestinal infectious diseases unspecified,not a valid entry
QC90.1,Contact with or exposure to tuberculosis,not a valid entry
QC90.2,Contact with or exposure to infections with a predominantly sexual mode of transmission,not a valid entry
QC90.3,Contact with or exposure to rabies,not a valid entry
QC90.4,Contact with or exposure to rubella,not a valid entry
QC90.5,Contact with or exposure to viral hepatitis,not a valid entry
QC90.6,Contact with or exposure to human immunodeficiency virus,not a valid entry
QC90.7,Contact with or exposure to pediculosis acariasis or other infestations,not a valid entry
QC90.Y,Contact with or exposure to other specified communicable diseases,not a valid entry
QC90.Z,Contact with or exposure to communicable diseases unspecified,not a valid entry
QD00,Carrier of salmonella typhi,not a valid entry
QD01.0,Asymptomatic enteric carriage of Entamoeba,not a valid entry
QD01.Y,Other specified carrier of intestinal infectious agents,not a valid entry
QD01.Z,Carrier of intestinal infectious agents unspecified,not a valid entry
QD02,Carrier of corynebacterium diphtheriae,not a valid entry
QD03,Carrier of infectious agents with a predominantly sexual mode of transmission,not a valid entry
QD04,Asymptomatic colonization of the skin by virulent or therapy resistant bacteria,not a valid entry
QD0Y,Carrier of other specified infectious disease agent,not a valid entry
QD0Z,Carrier of infectious disease agent unspecified,not a valid entry
QD2Y,Other specified health status associated with infectious or certain specified conditions,not a valid entry
QD2Z,Unspecified health status associated with infectious or certain specified conditions,not a valid entry
QD30,Concern about breast appearance,not a valid entry
QD31,Contact with health services for concerns about body image related to pregnancy,not a valid entry
QD3Y,Other specified concern about body appearance,not a valid entry
QD3Z,Concern about body appearance unspecified,not a valid entry
QD50,Poverty,not a valid entry
QD51,Low income,not a valid entry
QD5Y,Other specified problems associated with finances,not a valid entry
QD5Z,Problems associated with finances unspecified,not a valid entry
QD60,Problems associated with inadequate drinking-water,not a valid entry
QD61,Inadequate food,not a valid entry
QD6Z,Problems associated with drinking water or nutrition unspecified,not a valid entry
QD70.0,Problems associated with exposure to noise,not a valid entry
QD70.1,Problems associated with exposure to air pollution,not a valid entry
QD70.2,Problems associated with exposure to water pollution,not a valid entry
QD70.3,Problems associated with exposure to soil pollution,not a valid entry
QD70.4,Problems associated with exposure to radiation,not a valid entry
QD70.5,Problems associated with exposure to tobacco smoke,not a valid entry
QD70.6,Problems associated with inadequate access to electrical power,not a valid entry
QD70.Z,Problems associated with the natural environment or human-made changes to the environment unspecified,not a valid entry
QD71.0,Homelessness,not a valid entry
QD71.1,Inadequate housing,not a valid entry
QD71.2,Problems related to living in residential institution,not a valid entry
QD71.Z,Problems associated with housing unspecified,not a valid entry
QD7Y,Other specified problems associated with the environment,not a valid entry
QD7Z,Problems associated with the environment unspecified,not a valid entry
QD80,Problem associated with unemployment,not a valid entry
QD81,Problem associated with change of job,not a valid entry
QD82,Problem associated with threat of job loss,not a valid entry
QD83.0,Problem associated with uncongenial work,not a valid entry
QD83.1,Problem associated with stressful work schedule,not a valid entry
QD83.Y,Other specified problem with employment conditions,not a valid entry
QD84.0,Occupational exposure to dust,not a valid entry
QD84.1,Occupational exposure to toxic agents in agriculture,not a valid entry
QD84.2,Occupational exposure to toxic agents in industries other than agriculture,not a valid entry
QD84.3,Occupational exposure to vibration,not a valid entry
QD84.4,Occupational exposure to ergonomic risk,not a valid entry
QD84.Y,Other specified occupational exposure to risk-factors,not a valid entry
QD84.Z,Occupational exposure to risk-factors unspecified,not a valid entry
QD85,Burn-out,mental disease
QD8Y,Other specified problems associated with employment or unemployment,not a valid entry
QD8Z,Problems associated with employment or unemployment unspecified,not a valid entry
QD90,Problem associated with illiteracy or low-level literacy,not a valid entry
QD91,Problem associated with education unavailable or unattainable,not a valid entry
QD92,Problem with educational progress,not a valid entry
QD9Y,Other specified problems associated with education,not a valid entry
QD9Z,Problems associated with education unspecified,not a valid entry
QE00,Acculturation difficulty,not a valid entry
QE01,Stress not elsewhere classified,mental disease
QE02,Social role conflict,mental disease
QE03,Social exclusion or rejection,mental disease
QE04,Target of perceived adverse discrimination or persecution,mental disease
QE0Y,Other specified problems associated with social or cultural environment,not a valid entry
QE0Z,Problems associated with social or cultural environment unspecified,not a valid entry
QE10,Hazardous alcohol use,mental disease
QE11.0,Hazardous use of opioids,mental disease
QE11.1,Hazardous use of cannabis,mental disease
QE11.2,Hazardous use of sedatives hypnotics or anxiolytics,mental disease
QE11.3,Hazardous use of cocaine,mental disease
QE11.4,Hazardous use of stimulants including amphetamines or methamphetamine,mental disease
QE11.5,Hazardous use of caffeine,mental disease
QE11.6,Hazardous use of MDMA or related drugs,mental disease
QE11.7,Hazardous use of dissociative drugs including ketamine or PCP,mental disease
QE11.8,Hazardous use of other specified psychoactive substances,mental disease
QE11.9,Hazardous use of unknown or unspecified psychoactive substances,mental disease
QE11.Y,Other specified hazardous drug use,not a valid entry
QE11.Z,Hazardous drug use unspecified,not a valid entry
QE12,Hazardous nicotine use,not a valid entry
QE13,Tobacco use,not a valid entry
QE1Y,Other specified hazardous substance use,not a valid entry
QE1Z,Hazardous substance use unspecified,not a valid entry
QE20,Lack of physical exercise,not a valid entry
QE21,Hazardous gambling or betting,not a valid entry
QE22,Hazardous gaming,not a valid entry
QE23,Problems with inappropriate diet or eating habits,not a valid entry
QE24,Problems with hygiene behaviours,not a valid entry
QE25,Problems with oral health behaviours,not a valid entry
QE26,Problem with sun exposure behaviour,not a valid entry
QE27,Problem with behaviours related to psychological health or wellbeing,mental disease
QE28,Problem with health literacy,not a valid entry
QE2Y,Problems with other specified health-related behaviours,not a valid entry
QE2Z,Problem with health-related behaviours unspecified,not a valid entry
QE30.0,Insufficient social insurance support aged,not a valid entry
QE30.1,Insufficient social insurance support disability,not a valid entry
QE30.2,Insufficient social insurance support unemployment,not a valid entry
QE30.3,Insufficient social insurance support family support,not a valid entry
QE31.0,Insufficient social welfare support child protection,not a valid entry
QE31.1,Insufficient social welfare support protection against domestic violence,not a valid entry
QE31.2,Insufficient social welfare support protection against homelessness,not a valid entry
QE31.3,Insufficient social welfare support post prison services,not a valid entry
QE3Y,Other specified problems associated with social insurance or welfare,not a valid entry
QE3Z,Problems associated with social insurance or welfare unspecified,not a valid entry
QE40,Problem associated with conviction in civil or criminal proceedings without imprisonment,not a valid entry
